epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4692,0.76647,0.50603,1.10137,0.85876,0.84743,0.88245,0.54573,1.17613,0.60446,1.41855,0.000183981,0.000183981,0.000183981
2,185.364,0.74864,0.47053,1.08466,0.85741,0.8374,0.87335,0.52967,1.20449,0.64101,1.43784,0.00036322,0.00036322,0.00036322
3,278.226,0.77355,0.50544,1.10254,0.83928,0.83043,0.86289,0.52447,1.22396,0.66862,1.46637,0.000536344,0.000536344,0.000536344
4,371.077,0.80334,0.52882,1.11848,0.81682,0.83481,0.84859,0.52731,1.19323,0.67029,1.43966,0.000528478,0.000528478,0.000528478
5,463.842,0.79808,0.52243,1.11618,0.85557,0.78237,0.85003,0.5218,1.21139,0.68927,1.46941,0.000519304,0.000519304,0.000519304
6,556.949,0.78829,0.51479,1.11112,0.8652,0.79668,0.87437,0.53449,1.19867,0.65029,1.45384,0.00051013,0.00051013,0.00051013
7,650.065,0.77525,0.50184,1.10953,0.82853,0.82335,0.85442,0.52855,1.21592,0.7026,1.47606,0.000500956,0.000500956,0.000500956
8,742.903,0.78407,0.50231,1.11087,0.87714,0.81381,0.86597,0.53095,1.20283,0.65606,1.4724,0.000491782,0.000491782,0.000491782
9,835.755,0.76114,0.49061,1.09374,0.8463,0.8001,0.84707,0.51799,1.2242,0.67227,1.47359,0.000482608,0.000482608,0.000482608
10,928.538,0.74681,0.48018,1.08772,0.85854,0.83173,0.87172,0.52508,1.21417,0.66624,1.494,0.000473434,0.000473434,0.000473434
11,1021.43,0.74526,0.47525,1.08722,0.8394,0.8369,0.86885,0.52694,1.23022,0.64458,1.47361,0.00046426,0.00046426,0.00046426
12,1114.5,0.7389,0.47005,1.08049,0.86319,0.80041,0.86195,0.53088,1.1926,0.66999,1.44221,0.000455086,0.000455086,0.000455086
13,1207.38,0.73007,0.45872,1.06399,0.84589,0.83066,0.86818,0.53571,1.19875,0.64406,1.42707,0.000445912,0.000445912,0.000445912
14,1300.9,0.71341,0.44692,1.05446,0.85933,0.80118,0.85682,0.52652,1.21615,0.64407,1.48579,0.000436738,0.000436738,0.000436738
15,1393.7,0.70552,0.43762,1.05127,0.85049,0.84383,0.87296,0.53677,1.21215,0.63589,1.4657,0.000427564,0.000427564,0.000427564
16,1486.79,0.71055,0.4431,1.05849,0.8703,0.82931,0.87401,0.5281,1.20781,0.65363,1.49123,0.00041839,0.00041839,0.00041839
17,1579.74,0.68854,0.43605,1.0518,0.85255,0.83201,0.86742,0.531,1.19246,0.63494,1.46565,0.000409216,0.000409216,0.000409216
18,1672.53,0.69589,0.44063,1.05332,0.86439,0.8107,0.86043,0.5268,1.20905,0.68103,1.47151,0.000400042,0.000400042,0.000400042
19,1765.49,0.69204,0.43379,1.04962,0.85703,0.83185,0.86951,0.53053,1.2156,0.65488,1.4656,0.000390868,0.000390868,0.000390868
20,1858.35,0.67484,0.42348,1.04461,0.86452,0.83822,0.86871,0.53275,1.20194,0.62358,1.4688,0.000381694,0.000381694,0.000381694
21,1951.82,0.66347,0.41005,1.03781,0.86103,0.85252,0.88538,0.55156,1.19045,0.60414,1.48733,0.00037252,0.00037252,0.00037252
22,2046.06,0.65248,0.41173,1.03325,0.85874,0.83169,0.87382,0.5367,1.22231,0.64564,1.51578,0.000363346,0.000363346,0.000363346
23,2138.79,0.65952,0.40864,1.03197,0.87228,0.81873,0.86662,0.53031,1.20984,0.6474,1.49348,0.000354172,0.000354172,0.000354172
24,2232.26,0.63535,0.39277,1.01447,0.86311,0.83289,0.86264,0.52833,1.20406,0.65932,1.49554,0.000344998,0.000344998,0.000344998
25,2325.67,0.63329,0.39142,1.01176,0.85921,0.81788,0.86343,0.53771,1.18168,0.65862,1.43923,0.000335824,0.000335824,0.000335824
26,2418.42,0.63014,0.38777,1.00869,0.85488,0.82432,0.86201,0.53513,1.19006,0.66617,1.44795,0.00032665,0.00032665,0.00032665
27,2511.44,0.62335,0.38223,1.00206,0.83004,0.84649,0.86182,0.53414,1.1952,0.67151,1.46829,0.000317476,0.000317476,0.000317476
28,2605.43,0.62043,0.37924,1.01029,0.87373,0.81232,0.86676,0.53294,1.19702,0.66594,1.48592,0.000308302,0.000308302,0.000308302
29,2698.63,0.62013,0.37772,1.01202,0.85535,0.83957,0.86774,0.53672,1.17741,0.65523,1.49441,0.000299128,0.000299128,0.000299128
30,2791.5,0.61281,0.37034,1.00881,0.86964,0.82626,0.86827,0.53429,1.18418,0.65912,1.45727,0.000289954,0.000289954,0.000289954
31,2884.52,0.5994,0.36723,1.00469,0.86549,0.8123,0.85879,0.53418,1.18298,0.64725,1.50911,0.00028078,0.00028078,0.00028078
32,2977.33,0.59845,0.36806,1.00739,0.85912,0.82293,0.87337,0.53808,1.19746,0.62334,1.51096,0.000271606,0.000271606,0.000271606
33,3070.48,0.59061,0.35745,0.99769,0.85002,0.85342,0.87244,0.53866,1.18971,0.62166,1.51859,0.000262432,0.000262432,0.000262432
34,3163.34,0.58671,0.35797,0.9951,0.85828,0.83517,0.86357,0.53458,1.19067,0.64593,1.50893,0.000253258,0.000253258,0.000253258
35,3256.37,0.58293,0.35214,0.99084,0.83172,0.84422,0.86345,0.53399,1.20439,0.64034,1.5001,0.000244084,0.000244084,0.000244084
36,3349.07,0.56773,0.34607,0.98211,0.85927,0.83575,0.86614,0.53925,1.18453,0.64799,1.50187,0.00023491,0.00023491,0.00023491
37,3442.01,0.57977,0.34486,0.99106,0.85698,0.82805,0.8705,0.54051,1.19508,0.62157,1.49327,0.000225736,0.000225736,0.000225736
