epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,232.539,1.24272,0.93888,0.01362,0.76704,0.73612,0.74943,0.38253,1.73342,1.098,0.0233,0.0099863,0.00332877,0.0099863,0.00332877,0.0099863,0.00332877,0.0099863,0.00332877
2,451.429,1.25865,0.88444,0.01385,0.76637,0.71923,0.75362,0.3879,1.73651,1.1152,0.02271,0.0196565,0.00655218,0.0196565,0.00655218,0.0196565,0.00655218,0.0196565,0.00655218
3,659.744,1.37027,1.00176,0.01564,0.70413,0.65715,0.66943,0.30967,1.92114,1.29488,0.0257,0.0289968,0.00966558,0.0289968,0.00966558,0.0289968,0.00966558,0.0289968,0.00966558
4,867.623,1.51688,1.18036,0.01808,0.6926,0.65196,0.65537,0.31549,1.9048,1.31917,0.02521,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,1075.97,1.51371,1.1662,0.01802,0.7012,0.67236,0.68359,0.32771,1.84253,1.2849,0.02399,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,1283.59,1.4999,1.15914,0.01768,0.69687,0.68764,0.68187,0.34201,1.83926,1.28826,0.02336,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,1491.7,1.48849,1.13395,0.01746,0.72271,0.71589,0.71326,0.35766,1.81266,1.16441,0.02369,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,1703.87,1.47688,1.11729,0.01739,0.71452,0.72099,0.7149,0.36108,1.79606,1.15831,0.02349,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,1918.41,1.47281,1.08969,0.017,0.74455,0.70662,0.71832,0.36673,1.78807,1.15324,0.02315,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,2133.87,1.45215,1.07788,0.01677,0.73121,0.69163,0.70463,0.35291,1.78779,1.19023,0.02388,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,2345.89,1.45148,1.03864,0.01676,0.73025,0.70348,0.70188,0.35176,1.77449,1.22908,0.02335,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,2552.39,1.43283,1.03256,0.01639,0.73846,0.70233,0.71375,0.35768,1.76717,1.15582,0.02347,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,2759.47,1.42729,1.02054,0.01618,0.72599,0.72919,0.72253,0.36767,1.75565,1.14251,0.02358,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,2966,1.41135,0.99664,0.01606,0.74219,0.71873,0.72284,0.36154,1.78264,1.15732,0.02345,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,3172.29,1.40129,1.00226,0.01586,0.73383,0.71473,0.71051,0.36536,1.77302,1.13311,0.02382,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,3379.44,1.3917,0.98418,0.01565,0.74831,0.72521,0.71894,0.37119,1.75016,1.15806,0.02334,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,3585.97,1.3783,0.94926,0.01547,0.74074,0.74317,0.73628,0.3808,1.74636,1.12637,0.02305,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,3792.93,1.37748,0.9399,0.01535,0.73839,0.71517,0.71105,0.3747,1.7358,1.1371,0.02305,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,3999.87,1.37304,0.93222,0.01525,0.74316,0.72469,0.72615,0.37563,1.74541,1.11737,0.02361,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,4206.48,1.34476,0.92748,0.01503,0.76656,0.73605,0.74211,0.38431,1.71465,1.0977,0.023,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,4414,1.34464,0.92424,0.0151,0.75331,0.7167,0.72393,0.38122,1.72069,1.10895,0.02293,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,4620.92,1.33734,0.91101,0.01471,0.75273,0.72961,0.72907,0.38218,1.72157,1.0972,0.02307,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
