epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,448.785,1.31551,1.65053,0.01613,0.82631,0.80209,0.84991,0.58385,1.21438,0.8157,0.0132,0.00999106,0.00333035,0.00999106,0.00333035,0.00999106,0.00333035,0.00999106,0.00333035
2,855.989,1.33652,1.04273,0.0158,0.80738,0.78613,0.84506,0.54492,1.32714,0.83582,0.01545,0.0196612,0.00655373,0.0196612,0.00655373,0.0196612,0.00655373,0.0196612,0.00655373
3,1256.96,1.45241,1.15975,0.01769,0.7798,0.7237,0.7759,0.43769,1.52098,1.04734,0.01899,0.0290014,0.00966712,0.0290014,0.00966712,0.0290014,0.00966712,0.0290014,0.00966712
4,1654.93,1.55846,1.30728,0.01939,0.72006,0.69008,0.72992,0.39845,1.55589,1.11352,0.0199,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,2052.96,1.55426,1.30637,0.01918,0.77209,0.70012,0.76964,0.42513,1.5377,1.08682,0.01937,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,2451.23,1.53553,1.27237,0.0188,0.72825,0.71385,0.76736,0.41522,1.54122,1.02955,0.01929,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,2850.03,1.54375,1.26563,0.01889,0.71871,0.68885,0.74713,0.40173,1.56377,1.09648,0.01955,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,3248.74,1.52588,1.23497,0.01857,0.76564,0.72847,0.77032,0.44207,1.5068,1.01565,0.0183,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,3647.59,1.51228,1.20292,0.01823,0.74707,0.73414,0.7728,0.42839,1.53866,1.01664,0.01901,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,4046.04,1.49987,1.18274,0.01818,0.76848,0.78027,0.80339,0.47081,1.45861,0.98408,0.01785,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,4445.05,1.48547,1.16908,0.01786,0.774,0.77071,0.80662,0.47342,1.43412,0.99346,0.01732,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,4844.1,1.47217,1.14394,0.0174,0.79039,0.7951,0.83042,0.49283,1.42589,0.8976,0.01717,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,5243.28,1.46746,1.11587,0.01747,0.80865,0.77405,0.82597,0.49434,1.47056,0.90102,0.01764,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,5641.75,1.4491,1.12086,0.01719,0.7989,0.78062,0.83142,0.4946,1.41752,0.9309,0.01667,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,6040.78,1.44861,1.10691,0.01731,0.84316,0.77653,0.84459,0.51122,1.40913,0.86371,0.01677,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,6439.41,1.43235,1.08729,0.01681,0.8238,0.80598,0.84644,0.51643,1.3881,0.88224,0.0163,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,6838.61,1.42628,1.06186,0.01679,0.8181,0.78061,0.83278,0.50086,1.40133,0.86132,0.01678,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,7237.74,1.41074,1.03922,0.01651,0.80909,0.80982,0.85392,0.53611,1.37869,0.82018,0.01606,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,7636.92,1.39814,1.03425,0.01625,0.83475,0.80821,0.8358,0.52894,1.33653,0.83392,0.01583,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,8036.82,1.39134,1.04004,0.01607,0.82082,0.80147,0.85278,0.55197,1.30569,0.81147,0.01475,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,8436.36,1.38889,1.02337,0.01616,0.81502,0.79672,0.83875,0.53839,1.3108,0.85649,0.01516,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,8836.29,1.371,0.99845,0.01576,0.80812,0.83561,0.86057,0.55772,1.28965,0.81329,0.01452,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,9235.29,1.35674,0.98197,0.01561,0.85129,0.82416,0.86819,0.5629,1.28429,0.7761,0.01444,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,9634.61,1.35981,0.96667,0.01556,0.87858,0.81815,0.87849,0.57342,1.29334,0.76961,0.01435,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,10034.4,1.33387,0.95057,0.01541,0.84498,0.82377,0.87077,0.57002,1.27491,0.75617,0.014,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,10434.3,1.33796,0.95141,0.01541,0.86091,0.79998,0.87028,0.57897,1.24747,0.75913,0.01367,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
